k,m
1,1
2,4
3,12
4,18
5,54
6,64
7,112
8,150
10,225
11,363
12,405
13,735
15,1056
17,1408
19,2058
21,2312
28,6006
29,6960
31,10304
32,12012
37,12025
39,17500
43,20832
47,28224
48,31500
52,45760
53,51520
58,56700
59,59059
61,72384
63,87616
71,136530
74,190650
79,245830
86,341341
91,381311
101,585915
107,585932
108,741762
109,844360
113,879498
122,1582080
129,1697892
149,2512328
151,2512338
162,3179267
163,3777543
173,5954760
181,8132064
192,8469630
193,8822592
197,9176328
210,11687025
239,24525224
251,27124146
254,31183250
265,39508923
267,40880736
283,51983390
317,62310437
331,84789166
334,91292721
339,112675601
347,127158038
349,135180318
373,148594260
401,234248113
419,256281760
431,358823556
433,368717250
439,383881225
443,432143276
449,462095200
457,485966292
478,532225301
484,647877004
491,650263957
515,912231488
541,1024064052
593,1390782159
601,1695920646
613,1851120885
615,1985467327
623,2250535280
641,2800518637
643,2954783772
659,3191079350
672,3553822998
750,4820595108
773,6353983350
774,6360489685
789,6989074272
814,8383453710
831,8679955864
926,16770479005
929,19618380983
937,20865402060
947,21540106484
961,22369305364
1004,25446495398
1012,28119442097
1031,32984139520
1039,33830310536
1072,39078351055
1093,41063158606
1109,43204475622
1114,53907372932
1153,61103835709
1157,74759540975
1212,80437383603
1251,98440709184
1269,99182650000
1291,99182650020
1307,105735468440
1309,127604829141
1311,134086311081
1361,162799483944
1410,174613219433
1439,200683383895
1447,201615234945
1486,234633350770
1487,234633350815
1489,273855996946
1499,310735124718
1511,314314563524
1521,320450471478
1563,335391702796
1568,344421234375
1601,418346872164
1613,445969722293
1637,453273051861
1709,652614218762
1747,712311265809
1859,783274569645
1885,949555592338
1946,1102542152499
1997,1550254764942
2003,1575356265924
2204,2446084078256
2228,2926830904020
2232,2993489877927
2308,3123219946688
2408,3762822152904
2496,4390972278893
2521,5152855801000
2699,6446879390068
2729,8947905700122
2753,9022956526212
2791,9990484904563
2897,12022052552615
2903,14572833633345
2927,14685504649893
2969,15055869207321
3019,16719429858150
3049,17521624305909
3068,18467036852069
3181,21054277714018
3217,22591975188123
3221,26114674351095
3271,26781487064550
3319,30361167329679
3393,33774727032475
3494,41383068996415
3541,46909804706400
3864,48844860780479
3973,50614958139805
